business_type,N
,2
Retail Sales of Perishable Foods,1
Sale of Food Prepared Onsite With Dining Area,1
Catering of Liquor From a Business Not Located In Chicago,1
Debt Collecting - Administrative Commercial Office,1
Private Scavenger - Vehicle,1
Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year,1
"Heating, Ventilation and Air Conditioning Services - Commercial | Heating, Ventilation and Air Conditioning Services - Residential",1
Provide Parking Spaces For a Fee - Available and Advertised to the Public,1
Retail Sales of General Merchandise | Operate a Pet Shop / Sales of Animals | Provide Animal Grooming Services,1
Massage Establishment,1
"Heating, Ventilation and Air Conditioning Services - Commercial",1
Wholesale Food Sales,1
Special Event Food,1
"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",1
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods,1
Miscellaneous Wholesale,1
Administrative Commercial Office,1
"Consumption of Liquor on Premises, Not for Profit",1
Catering of Liquor To Events,1
Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM | Retail Sales of Packaged Liquor,1
Retail Sale of Tobacco,1
Laundry Service | Clothing Alterations,1
Miscellaneous Commercial Services,1
Consumption of Liquor on Premises,1
Tavern - Consumption of Liquor on Premise,1
Live Theatrical and Other Live Cultural Performances Where Organization is Operating as an Incidental Use In a Building Primarily Used In The Conduct of Activities of a Not-For-Profit Organization,1
Home Repair Services,1
Retail Sales of Packaged Liquor,1
Acquisition and Improvement of Land/Residential Buildings,1
Motor Vehicle Repair - Engine and Body Work,1
"180 Day Multiple - Special Event Food, Mobile Food Vehicle",1
Junk Peddler,1
Dry Cleaning - Plant On Premises,1
"Provide Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public)",1
Payment Center,1
Residential Cleaning Services | Miscellaneous Commercial Services,1
Retail Sales of Clothing / Accessories / Shoes,1
Advertising / Marketing / Sales Office,1
Operation of a Fuel Filling Station,1
